order_code	customer	order_date	order_status	customer_po	line_index	line_kind	myob_row_id	myob_line_type	myob_item_number	myob_item_name	description	quantity	quantity_unit	quantity_type	unit_price	line_total	myob_sales_unit	requires_job_sheet	myob_item_uid	myob_order_uid
EP61145	HOLIDAY HIRING SERVICE	2026-05-06	confirmed	OCT 01.04.26	0	myob_import	4021	Transaction	- CTN	Use for Quotes	L24V	15	cartons	units	79	1185	CTN	1	e30728e1-4cd2-4c95-827f-31d2834954b2	7490e8d3-5bb1-425e-8800-c9ac72ee627d
EP61146	HOLIDAY HIRING SERVICE	2026-05-06	confirmed	NEXT OCT 01.04.26	0	myob_import	4023	Transaction	- CTN	Use for Quotes	L24V	15	cartons	units	79	1185	CTN	1	e30728e1-4cd2-4c95-827f-31d2834954b2	4bf375c9-1f20-4ae3-8f31-a48464473b73
EP61147	LUCIA CHOCOLATES	2026-05-06	confirmed	EMAIL	0	myob_import	4025	Transaction	- CTN	Use for Quotes	PB660G60035	6	cartons	units	188	1128	CTN	1	e30728e1-4cd2-4c95-827f-31d2834954b2	2b844a50-79de-4ed6-becd-a9ed2c2c0e8c
EP61148	MAROOCHY SAND AND GRAVEL	2026-05-06	confirmed	2005819	0	myob_import	4027	Transaction	- CTN	Use for Quotes	PB500G685150	1	cartons	units	638.5	638.5	CTN	1	e30728e1-4cd2-4c95-827f-31d2834954b2	12f9c5f5-d20f-4807-8be3-2ffc0e30cdc5
EP61149	MAYFAIR DRY CLEANERS	2026-05-06	confirmed	PHONE	0	myob_import	4029	Transaction	- ROLLS	Used for Quotes	PBR630G100030WHP	92	rolls	total_rolls	138.9	12778.8	ROLL	1	c305b11b-562f-4584-b934-9d562f97f458	b4fcc5eb-846b-4c1b-a88d-64abf45a1f9f
EP61150	MINEMECH SERVICES PTY LTD	2026-05-06	confirmed	G/212446	0	myob_import	4031	Transaction	- 100	Use for Quotes	PB510760200	3	ea	units	822.24	2466.72	100	1	8cac0475-92c1-49bf-86a0-b021f61d3e71	31a832a0-f692-4445-830d-8f10cb7a53a7
EP61151	VADALS	2026-05-06	confirmed	65721	0	myob_import	4033	Transaction	- ROLLS	Used for Quotes	SR91091025BT	21	rolls	total_rolls	100	2100	ROLL	1	c305b11b-562f-4584-b934-9d562f97f458	115ffa86-b906-45f1-9891-c71305217ac1
EP61152	SUNSHINE COAST SWIMMING PO	2026-05-06	confirmed	CHAD PHONE	0	myob_import	4035	Transaction	-1000	Used for Quotes	PB760120040	2	1000	units	622	1244	1000	1	74484949-0dee-4a96-8cf5-5600b9debd2e	322bb169-78fd-4478-8985-f483ead8aa90
EP61153	OYSTER OBSESSION	2026-05-06	confirmed	CHRISTMAS ORDER	1	manufactured	4040	Transaction	-1000	Used for Quotes	PB660G30035 - OYSTERHOOD BAGS	10	1000	units	115.2	1152	1000	1	74484949-0dee-4a96-8cf5-5600b9debd2e	ec696a2c-4554-47a3-963e-a81a78628536
EP61153	OYSTER OBSESSION	2026-05-06	confirmed	CHRISTMAS ORDER	3	myob_import	4036	Transaction	- ROLLS	Used for Quotes	SR32050032BT	20	rolls	total_rolls	88	1760	ROLL	1	c305b11b-562f-4584-b934-9d562f97f458	ec696a2c-4554-47a3-963e-a81a78628536
EP61154	DEPARTMENT OF HEALTH QLD	2026-05-06	confirmed	4305515649	0	myob_import	4043	Transaction	- CTN	Use for Quotes	CL24024	2	cartons	units	77	154	CTN	1	e30728e1-4cd2-4c95-827f-31d2834954b2	5eb36186-4565-4f67-b170-2741ed4633be
EP61154	DEPARTMENT OF HEALTH QLD	2026-05-06	confirmed	4305515649	2	resell	4041	Transaction	FREIGHT Charge to Customer	FREIGHT CHARGED -	FREIGHT CHARGED	1	ea	units	60.5	60.5	UNIT	0	aa194528-898a-4b4e-a683-dfd0d14d6f5a	5eb36186-4565-4f67-b170-2741ed4633be
EP61155	CENTRAL QLD HOSPITAL AND HEALTH SERVICE	2026-05-06	confirmed	4305530675	1	myob_import	4049	Transaction	- CTN	Use for Quotes	CL24024	2	cartons	units	77	154	CTN	1	e30728e1-4cd2-4c95-827f-31d2834954b2	9ce64f88-7e4d-404f-b8c0-581dc9e42544
EP61155	CENTRAL QLD HOSPITAL AND HEALTH SERVICE	2026-05-06	confirmed	4305530675	3	resell	4045	Transaction	FREIGHT Charge to Customer	FREIGHT CHARGED -	FREIGHT CHARGED	1	ea	units	60.5	60.5	UNIT	0	aa194528-898a-4b4e-a683-dfd0d14d6f5a	9ce64f88-7e4d-404f-b8c0-581dc9e42544
EP61156	HINTERLAND COMMERCIAL LAUN	2026-05-06	confirmed		1	myob_import	4055	Transaction	- ROLLS	Used for Quotes	CL6528	6	rolls	total_rolls	0	0	ROLL	1	c305b11b-562f-4584-b934-9d562f97f458	6f014e10-4403-4f5e-8d6b-e4dc670825a9
EP61156	HINTERLAND COMMERCIAL LAUN	2026-05-06	confirmed		3	myob_import	4053	Transaction	- CTN	Use for Quotes	PB275550100	1	cartons	units	0	0	CTN	1	e30728e1-4cd2-4c95-827f-31d2834954b2	6f014e10-4403-4f5e-8d6b-e4dc670825a9
EP61156	HINTERLAND COMMERCIAL LAUN	2026-05-06	confirmed		5	resell	4051	Transaction	FREIGHT Charge to Customer	FREIGHT CHARGED -	FREIGHT CHARGED	1	ea	units	60.5	60.5	UNIT	0	aa194528-898a-4b4e-a683-dfd0d14d6f5a	6f014e10-4403-4f5e-8d6b-e4dc670825a9
EP61157	GOLDEN COCKEREL PTY LTD	2026-05-06	confirmed	4500119187	1	myob_import	4061	Transaction	- CTN	Use for Quotes	219	9	cartons	units	46.95	422.55	CTN	1	e30728e1-4cd2-4c95-827f-31d2834954b2	1b27d769-041d-47a8-909f-c5c13045f659
EP61157	GOLDEN COCKEREL PTY LTD	2026-05-06	confirmed	4500119187	3	resell	4057	Transaction	FREIGHT Charge to Customer	FREIGHT CHARGED -	FREIGHT CHARGED	1	ea	units	60.5	60.5	UNIT	0	aa194528-898a-4b4e-a683-dfd0d14d6f5a	1b27d769-041d-47a8-909f-c5c13045f659
EP61158	HT Concepts Pty Ltd  - Planter Bag Supplies	2026-05-06	dispatched	EMAIL/951682	3	myob_import	7317	Transaction	-1000	Used for Quotes	PB240G440120BKUV - L/D 7LT TALL BLACK PLANTER BAG 240G(125+115) X 440MM X 120UM; PUNCH X6 -10MM 500 / ctn $/1000	7.65	1000	units	156.9	1200.29	1000	1	74484949-0dee-4a96-8cf5-5600b9debd2e	53af161b-3067-44c4-bc44-a3fbce84852b
EP61158	HT Concepts Pty Ltd  - Planter Bag Supplies	2026-05-06	dispatched	EMAIL/951682	5	myob_import	7315	Transaction	-1000	Used for Quotes	PB350G345120BKUV - L/D BLACK PLANTER BAG HT CONCEPTS 10L STND 350GUSSET (170+180) X 345MM X 120UM 400/CTN $/1000	9.5	1000	units	177.25	1683.88	1000	1	74484949-0dee-4a96-8cf5-5600b9debd2e	53af161b-3067-44c4-bc44-a3fbce84852b
EP61158	HT Concepts Pty Ltd  - Planter Bag Supplies	2026-05-06	dispatched	EMAIL/951682	7	myob_import	7321	Transaction	-1000	Used for Quotes	PB375G420120BKUV - L/D BLACK 15L PLANTER BAG 375G(195MM+180MM) X 420MM X120UM; 300/ ctn $/1000	10.2	1000	units	225.7	2302.14	1000	1	74484949-0dee-4a96-8cf5-5600b9debd2e	53af161b-3067-44c4-bc44-a3fbce84852b
EP61158	HT Concepts Pty Ltd  - Planter Bag Supplies	2026-05-06	dispatched	EMAIL/951682	9	myob_import	7319	Transaction	-1000	Used for Quotes	SL730122045BL/SLPUV - BLUE BANANA SLEEVE - L/D BLUE SLEEVE WITH UV ADDITIVE PRINTED 2S SOLID SILVER ON FRONT/BLACK BUISNESS LOGO ON BACK; 730MM X 1220MM X 45UM $/1000	10.05	1000	units	664	6673.2	1000	1	74484949-0dee-4a96-8cf5-5600b9debd2e	53af161b-3067-44c4-bc44-a3fbce84852b
EP61159	HT Concepts Pty Ltd  - Planter Bag Supplies	2026-05-06	confirmed	EMAIL/951682	0	manufactured	4076	Transaction	-1000	Used for Quotes	PB125G14075BKUV - HTCONCEPTS/0.5L SQUAT - L/D BLACK POLY BAG 125GUSSET (65MM + 60MM) X 140MM X 75UM 5000/ctn $/1000  0.5L SQUAT	22	1000	units	23	506	1000	1	74484949-0dee-4a96-8cf5-5600b9debd2e	e4503ad3-61e4-4d1d-98d8-72a2d5536495
EP61159	HT Concepts Pty Ltd  - Planter Bag Supplies	2026-05-06	confirmed	EMAIL/951682	1	myob_import	4075	Transaction	-1000	Used for Quotes	PB125G14075BKUV - HTCONCEPTS/0.5L SQUAT - L/D BLACK POLY BAG 125GUSSET (65MM + 60MM) X 140MM X 75UM 5000/ctn $/1000  0.5L SQUAT	18	1000	units	36.75	661.5	1000	1	74484949-0dee-4a96-8cf5-5600b9debd2e	e4503ad3-61e4-4d1d-98d8-72a2d5536495
EP61160	BLACKWOODS	2026-05-06	dispatched	PEX18262ST	0	myob_import	7328	Transaction	- CTN	Use for Quotes	PB405610100 QPB08 - QPB08:  LD NATURAL POLY BAG 405MM (W) X 610MM (L) X 100UM  300/CTN  $/CTN	1	cartons	units	69.9	69.9	CTN	1	e30728e1-4cd2-4c95-827f-31d2834954b2	7b4d2610-f68e-4907-b323-e70483a3cb49
EP61161	TGT Pty Ltd   - Mareeba	2026-05-06	confirmed	194749	0	manufactured	4081	Transaction	PBR(480+320)57035v	landmark - mareeba	POLY GRAPE LINER- GUSSETED (480+320) X 570 X 35UM 1000 BAGS/ROLL 3 ROWS X 4 HOLES PUNCHED	27	rolls	total_rolls	185	4995	ROLL	1	8aae6097-b9c4-4f55-91b1-c0ef8d729706	526bc8aa-18aa-4625-979b-2b4c8c9ba5c2
EP61161	TGT Pty Ltd   - Mareeba	2026-05-06	confirmed	194749	1	resell	4082	Transaction	PLAIN PALLET	PLAIN PALLET	PLAIN PALLET CHARGE	1	ea	units	35	35	UNIT	0	4d3e1150-452d-47fc-a1ef-4561fba93cc3	526bc8aa-18aa-4625-979b-2b4c8c9ba5c2
EP61113-B442FF	GREENSLOPES HOSPITAL	2026-05-05	dispatched	4507428980	2	myob_import	7247	Transaction	- CTN	Use for Quotes	PB35047040YP (1000) - YCW1040: 10 LITRE YELLOW CLINICAL WASTE 350MM X 470MM X 40UM  1000/CTN  $PER CTN	7	cartons	units	69.95	489.65	CTN	1	e30728e1-4cd2-4c95-827f-31d2834954b2	b442ffb4-9cfb-48df-a03f-67828fd48189
EP61114	GREENSLOPES HOSPITAL	2026-05-05	confirmed	4507428980	0	myob_import	3759	Transaction	- CTN	Use for Quotes	PB530G74040YP (250) - YCW3403: 34 LITRE YELLOW CLINICAL WASTE BAG (270+260)MM X 740MM X 40UM  250/CTN  $PER CTN	3	cartons	units	41.5	124.5	CTN	1	e30728e1-4cd2-4c95-827f-31d2834954b2	bf2c942c-9150-456f-ade2-ca595adb860b
EP61114-DD1F9A	GREENSLOPES HOSPITAL	2026-05-05	dispatched	4507437048	0	myob_import	7248	Transaction	- CTN	Use for Quotes	PB580G71030-IMP - CL40404 - L/D NATURAL POLY BAG 580MM GUSSETT X 710MM X 30UM 250 BAGS PER CARTON  $ PER CARTON	77	cartons	units	27.1	2086.7	CTN	1	e30728e1-4cd2-4c95-827f-31d2834954b2	dd1f9ac0-57cf-4663-ad1d-15a6299426dc
EP61115	GREENSLOPES HOSPITAL	2026-05-05	confirmed	4507437048	0	myob_import	3761	Transaction	- CTN	Use for Quotes	PB580G71030-IMP - CL40404 - L/D NATURAL POLY BAG 580MM GUSSETT X 710MM X 30UM 250 BAGS PER CARTON  $ PER CARTON	33	cartons	units	27.1	894.3	CTN	1	e30728e1-4cd2-4c95-827f-31d2834954b2	27c35a87-4dff-4f1d-a6d7-3fd07f26c178
EP61117	SIGNET PTY LTD (BRIS)	2026-05-05	confirmed	427565	0	resell	3953	Transaction	PBR63081425	SIGNET - 36424	MDPE POLY BAGS PERF ON A ROLL 630 X 814 X 25UM   500/ROLL  30 rolls per layer standing up then another layer of 30 rolls on top standing up.   60 ROLLS/PALLET	60	rolls	total_rolls	64.5	3870	ROLL	0	31e7a757-2ae9-456b-bbf3-74dc0725437b	f36cd2db-c784-4d37-928e-655bf9ae9ca8
EP60995-CC2F6A	FORMPACK	2026-05-04	dispatched	14943	0	resell	7332	Transaction	CORES - 7mm	cores - 7mm (formpack)	paper core with size of 77*2200*7mm (in pallet packing) 350 cores per pallet now $7.10 - as of 1.3.25	700	ea	units	7.1	4970	CORE	0	6fd1cbb8-0a4f-486f-87c4-065de5cda0f3	cc2f6afa-0c8a-4efe-aa97-1c6b87e983df
EP61085-70B828	NOOSA HOSPITAL	2026-05-04	confirmed	4507432387	0	resell	3534	Transaction	- PACK	Use for Quotes	CABLET - CABLET TIE5MM X 200MM	7	cartons	units	4.8	33.6	PACK	0	7ec597de-1417-416c-9d5b-b067f9c7c367	70b828f8-6f10-4571-b035-b2c4c45c5c62
EP61086-011D8C	JOHN FLYNN PRIVATE HOSPITAL	2026-05-04	confirmed	4507411250	0	myob_import	3538	Transaction	- CTN	Use for Quotes	LCW354750: 10L CYTOTOXIC WASTE BAG 340 X 470MM X 50UM 1000/CTN $PER CTN	2	cartons	units	96	192	CTN	1	e30728e1-4cd2-4c95-827f-31d2834954b2	011d8c91-0ed7-45c6-ba70-f76d1b8b6c29
EP61087-ADFC6F	RAMSAY CLINIC CALOUNDRA	2026-05-04	dispatched	4507431081	0	myob_import	7254	Transaction	- CTN	Use for Quotes	CL40404 - L/D NATURAL POLY BAG 580MM GUSSETT X 710MM X 30UM 250 BAGS PER CARTON PRICE PER CARTON	2	cartons	units	27.1	54.2	CTN	1	e30728e1-4cd2-4c95-827f-31d2834954b2	adfc6fde-7d38-4030-8ab3-8a8189e0dbea
EP61088-E607E6	GREENSLOPES HOSPITAL	2026-05-04	dispatched	4507435450	0	myob_import	7263	Transaction	- ROLLS	Used for Quotes	CL6528 - LD NATURAL POLY BAG ON ROLL 660MMX 965MM X 30UM ; 250/ROLL ; $/ROLL	16	rolls	total_rolls	39.1	625.6	ROLL	1	c305b11b-562f-4584-b934-9d562f97f458	e607e6eb-cda6-499d-8fa4-b8ecda23978c
EP61089-0C8C30	MATER MISERICORD LTD (T)	2026-05-04	confirmed	MPO0382794	1	myob_import	3561	Transaction	- CTN	Use for Quotes	CL7720 - L/D NATURAL POLY BAG 770MM GUSSETT X 1000MM X 30UM 250 BAGS PER CARTON PRICE PER CARTON	2	cartons	units	61.25	122.5	CTN	1	e30728e1-4cd2-4c95-827f-31d2834954b2	0c8c30af-5c0e-489c-9eb9-a2dfdb8c15d4
EP61089-0C8C30	MATER MISERICORD LTD (T)	2026-05-04	confirmed	MPO0382794	3	myob_import	3563	Transaction	- CTN	Use for Quotes	219: 20L YELLOW CLINICAL WASTE 450 GUSSET X 600MM X 30UM 250/CTN $PER CTN	1	cartons	units	28.8	28.8	CTN	1	e30728e1-4cd2-4c95-827f-31d2834954b2	0c8c30af-5c0e-489c-9eb9-a2dfdb8c15d4
EP61089-0C8C30	MATER MISERICORD LTD (T)	2026-05-04	confirmed	MPO0382794	5	myob_import	3557	Transaction	- CTN	Use for Quotes	YCW75515: 75L YELLOW CLINICAL WASTE BAG (750+430)MM X 1500MM X 50UM 100/ROLL $PER ROLL	1	cartons	units	249.9	249.9	CTN	1	e30728e1-4cd2-4c95-827f-31d2834954b2	0c8c30af-5c0e-489c-9eb9-a2dfdb8c15d4
EP61089-0C8C30	MATER MISERICORD LTD (T)	2026-05-04	confirmed	MPO0382794	7	myob_import	3559	Transaction	- CTN	Use for Quotes	CL40404 - L/D NATURAL POLY BAG 580MM GUSSETT X 710MM X 30UM 250 BAGS PER CARTON PRICE PER CARTON	5	cartons	units	33.88	169.4	CTN	1	e30728e1-4cd2-4c95-827f-31d2834954b2	0c8c30af-5c0e-489c-9eb9-a2dfdb8c15d4
EP61090-CEE4FB	MATER MISERICORD LTD (T)	2026-05-04	confirmed	MPO0383305	0	myob_import	3568	Transaction	- CTN	Use for Quotes	235: GREEN POLYBAG DIE CUT HANDLE PRINTED 'PATIENT EFFECTS' 450MM X 610MM X 45UM 250/CTN $PER CTN	8	cartons	units	93.5	748	CTN	1	e30728e1-4cd2-4c95-827f-31d2834954b2	cee4fba3-fae0-4b14-9f9c-d1998dde6f4d
EP61091-83122D	MATER MISERICORD LTD (T)	2026-05-04	confirmed	MPO0328261	0	myob_import	3572	Transaction	- CTN	Use for Quotes	235: GREEN POLYBAG DIE CUT HANDLE PRINTED 'PATIENT EFFECTS' 450MM X 610MM X 45UM 250/CTN $PER CTN	10	cartons	units	93.5	935	CTN	1	e30728e1-4cd2-4c95-827f-31d2834954b2	83122dcd-dfd9-41dd-aec7-c6a11c011aa6
EP61091-83122D	MATER MISERICORD LTD (T)	2026-05-04	confirmed	MPO0328261	2	myob_import	3574	Transaction	- CTN	Use for Quotes	219: 20L YELLOW CLINICAL WASTE 450 GUSSET X 600MM X 30UM 250/CTN $PER CTN	1	cartons	units	28.8	28.8	CTN	1	e30728e1-4cd2-4c95-827f-31d2834954b2	83122dcd-dfd9-41dd-aec7-c6a11c011aa6
EP61092-0834F6	CAIRNS HOSPITAL AND HEALTH SERVICE	2026-05-04	confirmed	4305529469	0	myob_import	3578	Transaction	- CTN	Use for Quotes	L/D NATURAL VENTED POLY BAG PRINTED 'GENERAL WASTE' 650 GUSSETT (400+250) X 900 X 60UM; 250/CTN; $/CTN	5	cartons	units	127.4	637	CTN	1	e30728e1-4cd2-4c95-827f-31d2834954b2	0834f68c-b691-4125-b6b4-3d27bff1f1e1
EP61093-990D6F	SEDL AGENCIES	2026-05-04	dispatched	10097010	0	resell	7122	Transaction	- KG	Use for Quotes	LD NATURAL POLY TUBE 470MM X 287M X 200UM ; 10kg/ROLL ; $/KG	20	kg	kg	6.35	127	KG	0	cd890873-845b-46e9-9819-6b689d48b3a8	990d6f04-30ee-4e92-b1b6-5fc750fc4272
EP61094	DASH PACKAGING	2026-05-04	confirmed	00022111	0	resell	3586	Transaction	- KG	Use for Quotes	LD NATURAL POLY TUBE 300MM X 120UM ; 15kg/ROLL ; $/KG	15	kg	kg	7.6	114	KG	0	cd890873-845b-46e9-9819-6b689d48b3a8	dd73109a-3c80-4bf0-b165-af0df1ba0b33
EP61095	BEEHIVE VINYL PRODUCTS	2026-05-04	confirmed	23989	1	resell	3596	Transaction	- KG	Use for Quotes	LD NATURAL POLY TUBE 1500MM X 60M X 150UM ; 25kg/ROLL ; $/KG	11	kg	kg	8.8	96.8	KG	0	cd890873-845b-46e9-9819-6b689d48b3a8	dcbbdb1a-a18e-4454-862e-0474827247be
