Receivable Invoice Detail																
DOLPHIN PLASTICS & PACKAGING																
For the period 1 July 2025 to 30 June 2026																
																
Invoice Number	Invoice Date	Source	Reference	Item Code	Description	Quantity	Unit Price (ex) (AUD)	Discount (ex) (AUD)	GST (AUD)	Gross (AUD)	Invoice Total (AUD)	Balance (AUD)	Contact Account Number	Contact Group	Account Code	Account
																
A1 COATERS																
951326	14 Jan 2026	Receivable Invoice			STRETCH WRAP BUNDLE (20/CTN) - BUNDLE WRAP 100MM X 300MTS X 20UM 20/CTN $/CTN (UOM = CTN)	2.0000	90.6675	0.00	18.13	199.47	407.37	0.00	7612		4040	Sales - Purchased Finished Goods
951326	14 Jan 2026	Receivable Invoice			*HAS TAKEN ORDER**	1.0000	0.0000	0.00	0.00	0.00	407.37	0.00	7612			
951544	18 Feb 2026	Receivable Invoice	WALK IN 18.02.26		STRETCH WRAP REAPER - CAST STRETCH WRAP 500MM X 400MTRS X 23UM 4ROLLS/CTN $/CTN (UOM = CTN)   - (Customer Part # WRAP)	4.0000	90.0000	0.00	36.00	396.00	693.00	0.00	7612		4020	Sales - Imported Finished Goods
951544	18 Feb 2026	Receivable Invoice	WALK IN 18.02.26		STRETCH WRAP BUNDLE (20/CTN) - BUNDLE WRAP 100MM X 300MTS X 20UM 20/CTN $/CTN (UOM = CTN)	3.0000	90.0000	0.00	27.00	297.00	693.00	0.00	7612		4040	Sales - Purchased Finished Goods
Total A1 COATERS						35.0000		0.00	301.37	3,315.06		0.00				
																
ABL - As SIGNET																
950107	18 Jul 2025	Receivable Invoice	PO078979		T250150Y(15KG) - L/D YELLOW POLYTUBE 250MM X 216M X 150UM, 15KG/ROLL, $PER KG (UOM = kg)	105.0000	6.0000	0.00	63.00	693.00	1,741.62	0.00	5103		4030	Sales - Manufactured Finished Goods
950107	18 Jul 2025	Receivable Invoice	PO078979		PB1000800100 - L/D NATURAL POLY BAG 1000MM X 800MM X 100UM $/1000 (UOM = THOU)   - (Customer Part # .)	1.3000	733.3000	0.00	95.33	1,048.62	1,741.62	0.00	5103		4030	Sales - Manufactured Finished Goods
950107	18 Jul 2025	Receivable Invoice	PO078979		# DUE TO MANUFACTURING UNDER AND OVER ALLOWANCES THIS ITEM IS SLIGHTLY OVER YOUR REQUESTED AMOUNT, PLEASE ADJUST YOUR PURCHASE ORDER ACCORDINGLY.	1.0000	0.0000	0.00	0.00	0.00	1,741.62	0.00	5103			
950107	18 Jul 2025	Receivable Invoice	PO078979		**BB ACCOUNT*****	1.0000	0.0000	0.00	0.00	0.00	1,741.62	0.00	5103			
950384	06 Nov 2025	Receivable Invoice	PO081771		T150150Y - L/D YELLOW TUBE 150MM X 360M X 150UM  15kg/ROLL  $/kg (UOM = kg)	105.0000	5.3000	0.00	55.65	612.15	1,626.57	0.00	5103		4030	Sales - Manufactured Finished Goods
950384	06 Nov 2025	Receivable Invoice	PO081771		PB30545535BT - LD BLUE TINT POLY BAG 305MM X 455MM X 35UM ; 1000/CTN ; $/1000 ; (BOTTOM SEAL) (UOM = THOU)	12.0000	76.8500	0.00	92.22	1,014.42	1,626.57	0.00	5103		4030	Sales - Manufactured Finished Goods
950384	06 Nov 2025	Receivable Invoice	PO081771		**APPROVED PRICE BY MICHELLE VIA EMAIL.****	1.0000	0.0000	0.00	0.00	0.00	1,626.57	0.00	5103			
950384	06 Nov 2025	Receivable Invoice	PO081771		**SPOKE TO MICHELLE TOLD TO PUTON THIER BB ACCOUNT****6/11/25	1.0000	0.0000	0.00	0.00	0.00	1,626.57	0.00	5103			
950489	14 Nov 2025	Receivable Invoice	PO082734		T1200100-25KG - LD CLEAR POLY TUBE 1200MM X 114M X 100UM ; 25KG/ROLL ; $/ROLL (UOM = ROLL)   - (Customer Part # TUBE)	4.0000	140.0000	0.00	56.00	616.00	616.00	0.00	5103		4030	Sales - Manufactured Finished Goods
951193	04 Mar 2026	Receivable Invoice	PO089114		T1200100-25KG - LD CLEAR POLY TUBE 1200MM X 114M X 100UM ; 25KG/ROLL ; $/ROLL (UOM = ROLL)   - (Customer Part # TUBE)	4.0000	105.0000	0.00	42.00	462.00	1,613.15	462.00	5103		4030	Sales - Manufactured Finished Goods
951193	04 Mar 2026	Receivable Invoice	PO089114		FREIGHT OUTGOING - FREIGHT HANDLING, BOOKING AND ADMIN FEE DISPATCHED FROM WARANA WAREHOUSE (UOM = ea)	1.0000	0.0000	0.00	0.00	0.00	1,613.15	0.00	5103			
951193	04 Mar 2026	Receivable Invoice	PO089114		****DUE TO RISING FREIGHT COST AND FUEL LEVY INCREASES, NEW FREIGHT COST **ALL ORDERS FREIGHT WILL BE CALCULATED ON COMPLETION OF THE ORDER **PLEASE ADVISE IF YOU HAVE ALTERNATIVE FREIGHT OPTIONS***	1.0000	0.0000	0.00	0.00	0.00	1,613.15	0.00	5103			
951193	04 Mar 2026	Receivable Invoice	PO089114		# DUE TO MANUFACTURING UNDER AND OVER ALLOWANCES THIS ITEM IS SLIGHTLY OVER YOUR REQUESTED AMOUNT, PLEASE ADJUST YOUR PURCHASE ORDER ACCORDINGLY.	1.0000	0.0000	0.00	0.00	0.00	1,613.15	0.00	5103			
951193	04 Mar 2026	Receivable Invoice	PO089114		CF1000(2000)50UM200MTBK - L/D BLACK CENTREFOLD 1000(2000) X 50UM  ;200MT/ROLL;  $/ROLL (UOM = ROLL)   - (Customer Part # 10850)	7.0000	149.5000	0.00	104.65	1,151.15	1,613.15	1,151.15	5103		4030	Sales - Manufactured Finished Goods
951193	04 Mar 2026	Receivable Invoice	PO089114		# DUE TO MANUFACTURING UNDER AND OVER ALLOWANCES THIS ITEM IS SLIGHTLY OVER YOUR REQUESTED AMOUNT, PLEASE ADJUST YOUR PURCHASE ORDER ACCORDINGLY.	1.0000	0.0000	0.00	0.00	0.00	1,613.15	0.00	5103			
951217	16 Mar 2026	Receivable Invoice	PO089519		T200200P - L/D NATURAL TUBE PRINTED 'PTE HYDRAULICS' 200 X 200UM  20kg/ROLL;  PERkg (UOM = kg)	120.0000	5.7500	0.00	69.00	759.00	759.00	759.00	5103		4030	Sales - Manufactured Finished Goods
951217	16 Mar 2026	Receivable Invoice	PO089519		W/O DONE12/11/25 PRODUCTION SHEET DONE CQ 5/3/26 LABELS DONE5/3/26DF	1.0000	0.0000	0.00	0.00	0.00	759.00	0.00	5103			
950888	16 Mar 2026	Receivable Invoice	PO085974		T200200P - L/D NATURAL TUBE PRINTED 'PTE HYDRAULICS' 200 X 200UM  20kg/ROLL;  PERkg (UOM = kg)	200.0000	5.7500	0.00	115.00	1,265.00	1,265.00	1,265.00	5103		4030	Sales - Manufactured Finished Goods
950888	16 Mar 2026	Receivable Invoice	PO085974		**DUE TO THIS ORDER BEING PLACED  AFTER THE CHRISTIMAS CUT OFF DATE THIS WILL NOT BE MANUFACTURED UNTILL  JANUARY 2026***	1.0000	0.0000	0.00	0.00	0.00	1,265.00	0.00	5103			
950888	16 Mar 2026	Receivable Invoice	PO085974		W/O DONE12/11/25 PRODUCTION SHEET DONE CQ 5/3/26 LABELS DONE5/3/26DF	1.0000	0.0000	0.00	0.00	0.00	1,265.00	0.00	5103			
951217-02	17 Mar 2026	Receivable Invoice	PO089519		T200200P - L/D NATURAL TUBE PRINTED 'PTE HYDRAULICS' 200 X 200UM  20kg/ROLL;  PERkg (UOM = kg)	80.0000	5.7500	0.00	46.00	506.00	506.00	506.00	5103		4030	Sales - Manufactured Finished Goods
951508	17 Mar 2026	Receivable Invoice	PO092823		T200200P - L/D NATURAL TUBE PRINTED 'PTE HYDRAULICS' 200 X 200UM  20kg/ROLL;  PERkg (UOM = kg)	200.0000	5.7500	0.00	115.00	1,265.00	1,265.00	1,265.00	5103		4030	Sales - Manufactured Finished Goods
951508	17 Mar 2026	Receivable Invoice	PO092823		W/O DONE12/11/25 PRODUCTION SHEET DONE CQ 5/3/26 LABELS DONE5/3/26DF	1.0000	0.0000	0.00	0.00	0.00	1,265.00	0.00	5103			
950888-02	18 Mar 2026	Receivable Invoice	PO085974		T300200P-PTE HYDRAULICS - L/D NATURAL TUBE PRINTED 'PTE HYDRAULICS' 300MM X 200UM, 25KG/ROLL, PER KG (UOM = kg)   - (Customer Part # T300200P)	200.0000	5.7500	0.00	115.00	1,265.00	1,265.00	1,265.00	5103		4030	Sales - Manufactured Finished Goods
951217-03	18 Mar 2026	Receivable Invoice	PO089519		T300200P-PTE HYDRAULICS - L/D NATURAL TUBE PRINTED 'PTE HYDRAULICS' 300MM X 200UM, 25KG/ROLL, PER KG (UOM = kg)   - (Customer Part # T300200P)	100.0000	5.7500	0.00	57.50	632.50	632.50	632.50	5103		4030	Sales - Manufactured Finished Goods
951508-02	18 Mar 2026	Receivable Invoice	PO092823		T300200P-PTE HYDRAULICS - L/D NATURAL TUBE PRINTED 'PTE HYDRAULICS' 300MM X 200UM, 25KG/ROLL, PER KG (UOM = kg)   - (Customer Part # T300200P)	200.0000	5.7500	0.00	115.00	1,265.00	1,423.13	1,265.00	5103		4030	Sales - Manufactured Finished Goods
951508-02	18 Mar 2026	Receivable Invoice	PO092823		T300200P-PTE HYDRAULICS - L/D NATURAL TUBE PRINTED 'PTE HYDRAULICS' 300MM X 200UM, 25KG/ROLL, PER KG (UOM = kg)   - (Customer Part # T300200P)	25.0000	5.7500	0.00	14.38	158.13	1,423.13	158.13	5103		4030	Sales - Manufactured Finished Goods
951508-02	18 Mar 2026	Receivable Invoice	PO092823		# DUE TO MANUFACTURING UNDER AND OVER ALLOWANCES THIS ITEM IS SLIGHTLY OVER YOUR REQUESTED AMOUNT, PLEASE ADJUST YOUR PURCHASE ORDER ACCORDINGLY.	1.0000	0.0000	0.00	0.00	0.00	1,423.13	0.00	5103			
951217-04	18 Mar 2026	Receivable Invoice	PO089519		T300200P-PTE HYDRAULICS - L/D NATURAL TUBE PRINTED 'PTE HYDRAULICS' 300MM X 200UM, 25KG/ROLL, PER KG (UOM = kg)   - (Customer Part # T300200P)	100.0000	5.7500	0.00	57.50	632.50	632.50	632.50	5103		4030	Sales - Manufactured Finished Goods
951660	31 Mar 2026	Receivable Invoice	PO093924		T350150Y(15KG) - L/D YELLOW TUBE 350 X 150UM, 15KG/ROLL, $/KG (UOM = kg)	105.0000	5.3000	0.00	55.65	612.15	612.15	612.15	5103		4030	Sales - Manufactured Finished Goods
951660	31 Mar 2026	Receivable Invoice	PO093924		W/O4/3/26DF/P/S12/03/26/LABELS16/03/26DF*	1.0000	0.0000	0.00	0.00	0.00	612.15	0.00	5103			
Total ABL - As SIGNET						1,582.3000		0.00	1,268.88	13,957.62		9,973.43				
																
ABLE SECURITY GROUP																
950458	01 Aug 2025	Receivable Invoice	AUGUST ORDER		TAPE48 ACRYLIC - WEB TAPE - WEB TAPE - CLEAR ACRYLIC TAPE 48MM X 75MT  36 ROLLS/CARTON $/CTN (UOM = CTN)	3.0000	94.5000	0.00	28.35	311.85	1,221.66	0.00	5104		4030	Sales - Manufactured Finished Goods
950458	01 Aug 2025	Receivable Invoice	AUGUST ORDER		STRETCH WRAP BUNDLE (20/CTN) - BUNDLE WRAP 100MM X 300MTS X 20UM 20/CTN $/CTN (UOM = CTN)	6.0000	86.3500	0.00	51.81	569.91	1,221.66	0.00	5104		4040	Sales - Purchased Finished Goods
950458	01 Aug 2025	Receivable Invoice	AUGUST ORDER		STRETCH WRAP REAPER - CAST STRETCH WRAP 500MM X 400MTRS X 23UM 4ROLLS/CTN $/CTN (UOM = CTN)	2.0000	94.5000	0.00	18.90	207.90	1,221.66	0.00	5104		4020	Sales - Imported Finished Goods
950458	01 Aug 2025	Receivable Invoice	AUGUST ORDER		T200100(10kg) - L/D NATURAL POLYTUBE 200MM X 270M X 100UM  10kg/ROLL  $PER kg (UOM = kg)   - (Customer Part # .)	20.0000	6.0000	0.00	12.00	132.00	1,221.66	0.00	5104		4030	Sales - Manufactured Finished Goods
950790	24 Sep 2025	Receivable Invoice			STRETCH WRAP BUNDLE (20/CTN) - BUNDLE WRAP 100MM X 300MTS X 20UM 20/CTN $/CTN (UOM = CTN)	2.0000	86.3500	0.00	17.27	189.97	189.97	0.00	5104		4040	Sales - Purchased Finished Goods
950790	24 Sep 2025	Receivable Invoice			**ADVISE CUSTOMER WHEN ORDER IS READY FOR COLLECTION***	1.0000	0.0000	0.00	0.00	0.00	189.97	0.00	5104			
950877	08 Oct 2025	Receivable Invoice	OCTOBER ORDER		TAPE48 ACRYLIC - WEB TAPE - WEB TAPE - CLEAR ACRYLIC TAPE 48MM X 75MT  36 ROLLS/CARTON $/CTN (UOM = CTN)	4.0000	94.5000	0.00	37.80	415.80	1,510.25	0.00	5104		4030	Sales - Manufactured Finished Goods
950877	08 Oct 2025	Receivable Invoice	OCTOBER ORDER		STRETCH WRAP BUNDLE (20/CTN) - BUNDLE WRAP 100MM X 300MTS X 20UM 20/CTN $/CTN (UOM = CTN)	5.0000	86.3500	0.00	43.18	474.93	1,510.25	0.00	5104		4040	Sales - Purchased Finished Goods
950877	08 Oct 2025	Receivable Invoice	OCTOBER ORDER		PB280910100 - SV04:  L/D POLY BAG 280MM X 910MM X 100UM  500/CTN  $/1000 (UOM = THOU)	1.0000	254.2000	0.00	25.42	279.62	1,510.25	0.00	5104		4030	Sales - Manufactured Finished Goods
950877	08 Oct 2025	Receivable Invoice	OCTOBER ORDER		STRETCH WRAP REAPER - CAST STRETCH WRAP 500MM X 400MTRS X 23UM 4ROLLS/CTN $/CTN (UOM = CTN)	2.0000	94.5000	0.00	18.90	207.90	1,510.25	0.00	5104		4020	Sales - Imported Finished Goods
950877	08 Oct 2025	Receivable Invoice	OCTOBER ORDER		T200100(10kg) - L/D NATURAL POLYTUBE 200MM X 270M X 100UM  10kg/ROLL  $PER kg (UOM = kg)   - (Customer Part # .)	20.0000	6.0000	0.00	12.00	132.00	1,510.25	0.00	5104		4030	Sales - Manufactured Finished Goods
951163	25 Nov 2025	Receivable Invoice	NOVEMBER ORDER		TAPE48 ACRYLIC - WEB TAPE - WEB TAPE - CLEAR ACRYLIC TAPE 48MM X 75MT  36 ROLLS/CARTON $/CTN (UOM = CTN)	2.0000	94.5000	0.00	18.90	207.90	976.75	0.00	5104		4030	Sales - Manufactured Finished Goods
951163	25 Nov 2025	Receivable Invoice	NOVEMBER ORDER		STRETCH WRAP BUNDLE (20/CTN) - BUNDLE WRAP 100MM X 300MTS X 20UM 20/CTN $/CTN (UOM = CTN)	7.0000	86.3500	0.00	60.45	664.90	976.75	0.00	5104		4040	Sales - Purchased Finished Goods
951163	25 Nov 2025	Receivable Invoice	NOVEMBER ORDER		STRETCH WRAP REAPER - CAST STRETCH WRAP 500MM X 400MTRS X 23UM 4ROLLS/CTN $/CTN (UOM = CTN)	1.0000	94.5000	0.00	9.45	103.95	976.75	0.00	5104		4020	Sales - Imported Finished Goods
951163	25 Nov 2025	Receivable Invoice	NOVEMBER ORDER		**ADIVSE CUSTOMER WHEN READY FOR COLLECTION***	1.0000	0.0000	0.00	0.00	0.00	976.75	0.00	5104			
951477	11 Feb 2026	Receivable Invoice	FEBRUARY ORDER		STRETCH WRAP BUNDLE (20/CTN) - BUNDLE WRAP 100MM X 300MTS X 20UM 20/CTN $/CTN (UOM = CTN)	5.0000	86.3500	0.00	43.18	474.93	578.88	0.00	5104		4040	Sales - Purchased Finished Goods
951477	11 Feb 2026	Receivable Invoice	FEBRUARY ORDER		STRETCH WRAP REAPER - CAST STRETCH WRAP 500MM X 400MTRS X 23UM 4ROLLS/CTN $/CTN (UOM = CTN)	1.0000	94.5000	0.00	9.45	103.95	578.88	0.00	5104		4020	Sales - Imported Finished Goods
951712	17 Mar 2026	Receivable Invoice	GLENN 17.03.26		T200100(10kg) - L/D NATURAL POLYTUBE 200MM X 270M X 100UM  10kg/ROLL  $PER kg (UOM = kg)   - (Customer Part # .)	100.0000	3.0000	0.00	30.00	330.00	330.00	330.00	5104		4030	Sales - Manufactured Finished Goods
951599	17 Mar 2026	Receivable Invoice	NIGEL 24.02.26		STRETCH WRAP REAPER - CAST STRETCH WRAP 500MM X 400MTRS X 23UM 4ROLLS/CTN $/CTN (UOM = CTN)	10.0000	50.0000	0.00	50.00	550.00	4,290.00	537.31	5104		4020	Sales - Imported Finished Goods
951599	17 Mar 2026	Receivable Invoice	NIGEL 24.02.26		STRETCH WRAP BUNDLE (20/CTN) - BUNDLE WRAP 100MM X 300MTS X 20UM 20/CTN $/CTN (UOM = CTN)	15.0000	50.0000	0.00	75.00	825.00	4,290.00	805.96	5104		4040	Sales - Purchased Finished Goods
951599	17 Mar 2026	Receivable Invoice	NIGEL 24.02.26		TAPE48 ACRYLIC - WEB TAPE - WEB TAPE - CLEAR ACRYLIC TAPE 48MM X 75MT  36 ROLLS/CARTON $/CTN (UOM = CTN)	50.0000	50.0000	0.00	250.00	2,750.00	4,290.00	2,686.54	5104		4030	Sales - Manufactured Finished Goods
951599	17 Mar 2026	Receivable Invoice	NIGEL 24.02.26		T20050 (10KG) - LD NATURAL POLY TUBE 200MM X 50UM 10KG/ROLL $/KG (UOM = kg)	10.0000	3.0000	0.00	3.00	33.00	4,290.00	32.24	5104		4030	Sales - Manufactured Finished Goods
951599	17 Mar 2026	Receivable Invoice	NIGEL 24.02.26		PB255380100 - LD NATURAL POLY BAG 255MM (W) X 380MM (L) X 100UM  500/CTN  $/CTN (UOM = CTN)	3.0000	30.0000	0.00	9.00	99.00	4,290.00	96.72	5104		4030	Sales - Manufactured Finished Goods
951599	17 Mar 2026	Receivable Invoice	NIGEL 24.02.26		TAPE DISPENSER - TAPE PISTOL GRIP DISPENSER CODE PG-50B (UOM = ea)	3.0000	10.0000	0.00	3.00	33.00	4,290.00	32.24	5104		4040	Sales - Purchased Finished Goods
CN-6929	18 Mar 2026	Receivable Credit Note	NIGEL 24.02.26		PB255380100 - LD NATURAL POLY BAG 255MM (W) X 380MM (L) X 100UM  500/CTN  $/CTN (UOM = CTN)	(3.0000)	30.0000	0.00	(9.00)	(99.00)	(99.00)	0.00	5104		4030	Sales - Manufactured Finished Goods
CN-6929	18 Mar 2026	Receivable Credit Note	NIGEL 24.02.26		COULD NOT FIND STOCK CQ 18.03.26	0.0000	0.0000	0.00	0.00	0.00	(99.00)	0.00	5104			
Total ABLE SECURITY GROUP						271.0000		0.00	818.06	8,998.51		4,521.00				
																
ADVANTAGE SCREENS AND BLINDS																
950298	10 Jul 2025	Receivable Invoice	ADV 856		T150120(15kg) - L/D NATURAL POLY TUBE 150 X 120UM  450M/ROLL  15kg/ROLL  $/ROLL (UOM = ROLL)   - (Customer Part # .)	6.0000	65.8000	0.00	39.48	434.28	868.56	0.00	5109		4030	Sales - Manufactured Finished Goods
950298	10 Jul 2025	Receivable Invoice	ADV 856		T200120-15kg - L/D NATURAL POLY TUBE 200MM X 120UM  339M/ROLL;15kg/ROLL ; $/ROLL (UOM = ROLL)   - (Customer Part # .)	6.0000	65.8000	0.00	39.48	434.28	868.56	0.00	5109		4030	Sales - Manufactured Finished Goods
950298	10 Jul 2025	Receivable Invoice	ADV 856		**HAVE OWN DRIVER THAT COLLECTS ON THRUSDAYS***	1.0000	0.0000	0.00	0.00	0.00	868.56	0.00	5109			
950298	10 Jul 2025	Receivable Invoice	ADV 856		*LET THEM KNOW WHEN THEY HAVE THIS READY FOR DISPATCH***	1.0000	0.0000	0.00	0.00	0.00	868.56	0.00	5109			
950456	06 Aug 2025	Receivable Invoice	ADV 870		T150120(15kg) - L/D NATURAL POLY TUBE 150 X 120UM  450M/ROLL  15kg/ROLL  $/ROLL (UOM = ROLL)   - (Customer Part # .)	6.0000	65.8000	0.00	39.48	434.28	1,013.32	0.00	5109		4030	Sales - Manufactured Finished Goods
950456	06 Aug 2025	Receivable Invoice	ADV 870		T200120-15kg - L/D NATURAL POLY TUBE 200MM X 120UM  339M/ROLL;15kg/ROLL ; $/ROLL (UOM = ROLL)   - (Customer Part # .)	4.0000	65.8000	0.00	26.32	289.52	1,013.32	0.00	5109		4030	Sales - Manufactured Finished Goods
950456	06 Aug 2025	Receivable Invoice	ADV 870		T300120-15kg - L/D NATURAL POLY TUBE 300 X 120UM 226M/ROLL  15kg/ROLL  $/ROLL (UOM = ROLL)   - (Customer Part # TUBE)	4.0000	65.8000	0.00	26.32	289.52	1,013.32	0.00	5109		4030	Sales - Manufactured Finished Goods
950456	06 Aug 2025	Receivable Invoice	ADV 870		*LET THEM KNOW WHEN THEY HAVE THIS READY FOR DISPATCH***	1.0000	0.0000	0.00	0.00	0.00	1,013.32	0.00	5109			
950456	06 Aug 2025	Receivable Invoice	ADV 870		**HAVE OWN DRIVER THAT COLLECTS ON THRUSDAYS***	1.0000	0.0000	0.00	0.00	0.00	1,013.32	0.00	5109			
950748	16 Oct 2025	Receivable Invoice	ADV 891		T300120-15kg - L/D NATURAL POLY TUBE 300 X 120UM 226M/ROLL  15kg/ROLL  $/ROLL (UOM = ROLL)   - (Customer Part # TUBE)	2.0000	65.8000	0.00	13.16	144.76	434.28	0.00	5109		4030	Sales - Manufactured Finished Goods
950748	16 Oct 2025	Receivable Invoice	ADV 891		T150120(15kg) - L/D NATURAL POLY TUBE 150 X 120UM  450M/ROLL  15kg/ROLL  $/ROLL (UOM = ROLL)   - (Customer Part # .)	4.0000	65.8000	0.00	26.32	289.52	434.28	0.00	5109		4030	Sales - Manufactured Finished Goods
950748	16 Oct 2025	Receivable Invoice	ADV 891		**CUSTOMER TO COLLECT ORDER WHEN READY**TRUCK GO THROUGH  ON THURSDAYS**	1.0000	0.0000	0.00	0.00	0.00	434.28	0.00	5109			
950879	16 Oct 2025	Receivable Invoice	ADV 900		T150120(15kg) - L/D NATURAL POLY TUBE 150 X 120UM  450M/ROLL  15kg/ROLL  $/ROLL (UOM = ROLL)   - (Customer Part # .)	6.0000	65.8000	0.00	39.48	434.28	506.66	0.00	5109		4030	Sales - Manufactured Finished Goods
950879	16 Oct 2025	Receivable Invoice	ADV 900		T200120-15kg - L/D NATURAL POLY TUBE 200MM X 120UM  339M/ROLL;15kg/ROLL ; $/ROLL (UOM = ROLL)   - (Customer Part # .)	1.0000	65.8000	0.00	6.58	72.38	506.66	0.00	5109		4030	Sales - Manufactured Finished Goods
950569	23 Oct 2025	Receivable Invoice	ADV 880		T300120-15kg - L/D NATURAL POLY TUBE 300 X 120UM 226M/ROLL  15kg/ROLL  $/ROLL (UOM = ROLL)   - (Customer Part # TUBE)	4.0000	65.8000	0.00	26.32	289.52	289.52	0.00	5109		4030	Sales - Manufactured Finished Goods
950569	23 Oct 2025	Receivable Invoice	ADV 880		**CUSTOMER TO COLLECT ORDER WHEN READY**TRUCK GO THROUGH  ON THURSDAYS**	1.0000	0.0000	0.00	0.00	0.00	289.52	0.00	5109			
950748-02	23 Oct 2025	Receivable Invoice	ADV 891		T300120-15kg - L/D NATURAL POLY TUBE 300 X 120UM 226M/ROLL  15kg/ROLL  $/ROLL (UOM = ROLL)   - (Customer Part # TUBE)	2.0000	65.8000	0.00	13.16	144.76	144.76	0.00	5109		4030	Sales - Manufactured Finished Goods
